protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
44,7.08E-04,7.08E-04,7.06E-04,6.96E-04,6.74E-04,6.43E-04,6.09E-04,5.76E-04,5.45E-04,5.17E-04,4.91E-04,4.68E-04,4.48E-04,4.29E-04,4.13E-04,3.98E-04,3.84E-04,3.72E-04,3.61E-04,3.52E-04,3.43E-04
45,4.69E-04,4.69E-04,4.68E-04,4.61E-04,4.47E-04,4.27E-04,4.05E-04,3.83E-04,3.62E-04,3.43E-04,3.26E-04,3.11E-04,2.97E-04,2.85E-04,2.74E-04,2.64E-04,2.55E-04,2.47E-04,2.40E-04,2.33E-04,2.28E-04
46,3.04E-04,3.04E-04,3.03E-04,2.99E-04,2.90E-04,2.78E-04,2.63E-04,2.49E-04,2.36E-04,2.23E-04,2.12E-04,2.02E-04,1.93E-04,1.85E-04,1.78E-04,1.71E-04,1.66E-04,1.60E-04,1.56E-04,1.51E-04,1.48E-04
47,1.93E-04,1.93E-04,1.92E-04,1.90E-04,1.85E-04,1.77E-04,1.68E-04,1.59E-04,1.50E-04,1.42E-04,1.35E-04,1.29E-04,1.23E-04,1.18E-04,1.13E-04,1.09E-04,1.05E-04,1.02E-04,9.90E-05,9.63E-05,9.39E-05
48,1.20E-04,1.20E-04,1.20E-04,1.18E-04,1.15E-04,1.10E-04,1.04E-04,9.88E-05,9.35E-05,8.85E-05,8.41E-05,8.01E-05,7.65E-05,7.33E-05,7.05E-05,6.79E-05,6.56E-05,6.35E-05,6.16E-05,5.99E-05,5.84E-05
49,7.30E-05,7.30E-05,7.29E-05,7.21E-05,7.02E-05,6.72E-05,6.38E-05,6.04E-05,5.71E-05,5.41E-05,5.13E-05,4.89E-05,4.67E-05,4.48E-05,4.30E-05,4.14E-05,4.00E-05,3.87E-05,3.76E-05,3.66E-05,3.56E-05
50,4.36E-05,4.36E-05,4.35E-05,4.31E-05,4.20E-05,4.02E-05,3.82E-05,3.61E-05,3.42E-05,3.24E-05,3.07E-05,2.93E-05,2.80E-05,2.68E-05,2.57E-05,2.48E-05,2.39E-05,2.31E-05,2.25E-05,2.18E-05,2.13E-05
51,2.55E-05,2.55E-05,2.55E-05,2.53E-05,2.46E-05,2.36E-05,2.24E-05,2.12E-05,2.01E-05,1.90E-05,1.80E-05,1.72E-05,1.64E-05,1.57E-05,1.51E-05,1.45E-05,1.40E-05,1.36E-05,1.32E-05,1.28E-05,1.25E-05
52,1.47E-05,1.47E-05,1.46E-05,1.45E-05,1.41E-05,1.36E-05,1.29E-05,1.22E-05,1.15E-05,1.09E-05,1.04E-05,9.88E-06,9.43E-06,9.04E-06,8.68E-06,8.35E-06,8.06E-06,7.80E-06,7.57E-06,7.36E-06,7.17E-06
53,8.26E-06,8.26E-06,8.25E-06,8.18E-06,7.98E-06,7.66E-06,7.28E-06,6.89E-06,6.52E-06,6.17E-06,5.86E-06,5.58E-06,5.33E-06,5.10E-06,4.90E-06,4.71E-06,4.55E-06,4.40E-06,4.27E-06,4.15E-06,4.05E-06
54,4.57E-06,4.57E-06,4.56E-06,4.53E-06,4.42E-06,4.25E-06,4.04E-06,3.82E-06,3.61E-06,3.42E-06,3.25E-06,3.09E-06,2.95E-06,2.83E-06,2.71E-06,2.61E-06,2.52E-06,2.44E-06,2.37E-06,2.30E-06,2.24E-06
55,2.48E-06,2.48E-06,2.48E-06,2.46E-06,2.41E-06,2.31E-06,2.20E-06,2.08E-06,1.97E-06,1.86E-06,1.77E-06,1.68E-06,1.61E-06,1.54E-06,1.48E-06,1.42E-06,1.37E-06,1.33E-06,1.29E-06,1.25E-06,1.22E-06
56,1.32E-06,1.32E-06,1.32E-06,1.31E-06,1.28E-06,1.24E-06,1.18E-06,1.11E-06,1.05E-06,9.96E-07,9.45E-07,9.00E-07,8.59E-07,8.22E-07,7.89E-07,7.59E-07,7.33E-07,7.09E-07,6.88E-07,6.68E-07,6.51E-07
57,6.95E-07,6.95E-07,6.94E-07,6.89E-07,6.74E-07,6.49E-07,6.17E-07,5.85E-07,5.53E-07,5.23E-07,4.97E-07,4.73E-07,4.51E-07,4.32E-07,4.14E-07,3.99E-07,3.85E-07,3.72E-07,3.61E-07,3.51E-07,3.42E-07
58,3.58E-07,3.58E-07,3.58E-07,3.55E-07,3.48E-07,3.35E-07,3.19E-07,3.02E-07,2.85E-07,2.70E-07,2.56E-07,2.44E-07,2.33E-07,2.23E-07,2.14E-07,2.06E-07,1.98E-07,1.92E-07,1.86E-07,1.81E-07,1.76E-07
59,1.81E-07,1.81E-07,1.81E-07,1.80E-07,1.77E-07,1.70E-07,1.62E-07,1.53E-07,1.45E-07,1.37E-07,1.30E-07,1.24E-07,1.18E-07,1.13E-07,1.08E-07,1.04E-07,1.01E-07,9.74E-08,9.44E-08,9.18E-08,8.94E-08
60,9.04E-08,9.04E-08,9.03E-08,8.98E-08,8.81E-08,8.48E-08,8.08E-08,7.65E-08,7.23E-08,6.85E-08,6.50E-08,6.18E-08,5.90E-08,5.64E-08,5.41E-08,5.21E-08,5.02E-08,4.86E-08,4.71E-08,4.58E-08,4.46E-08
61,4.43E-08,4.43E-08,4.43E-08,4.41E-08,4.32E-08,4.16E-08,3.97E-08,3.76E-08,3.55E-08,3.36E-08,3.19E-08,3.03E-08,2.89E-08,2.77E-08,2.66E-08,2.56E-08,2.46E-08,2.38E-08,2.31E-08,2.25E-08,2.19E-08
62,2.14E-08,2.14E-08,2.14E-08,2.12E-08,2.08E-08,2.01E-08,1.92E-08,1.81E-08,1.72E-08,1.62E-08,1.54E-08,1.47E-08,1.40E-08,1.34E-08,1.28E-08,1.23E-08,1.19E-08,1.15E-08,1.12E-08,1.08E-08,1.06E-08
63,1.01E-08,1.01E-08,1.01E-08,1.01E-08,9.91E-09,9.56E-09,9.11E-09,8.63E-09,8.16E-09,7.73E-09,7.33E-09,6.97E-09,6.65E-09,6.36E-09,6.10E-09,5.86E-09,5.66E-09,5.47E-09,5.30E-09,5.15E-09,5.01E-09
64,4.74E-09,4.74E-09,4.74E-09,4.72E-09,4.63E-09,4.47E-09,4.26E-09,4.04E-09,3.82E-09,3.62E-09,3.43E-09,3.26E-09,3.11E-09,2.97E-09,2.85E-09,2.74E-09,2.65E-09,2.56E-09,2.48E-09,2.41E-09,2.35E-09
65,2.18E-09,2.18E-09,2.18E-09,2.17E-09,2.13E-09,2.06E-09,1.97E-09,1.86E-09,1.76E-09,1.67E-09,1.58E-09,1.50E-09,1.43E-09,1.37E-09,1.31E-09,1.26E-09,1.22E-09,1.18E-09,1.14E-09,1.11E-09,1.08E-09
66,9.89E-10,9.89E-10,9.88E-10,9.85E-10,9.68E-10,9.35E-10,8.92E-10,8.45E-10,7.99E-10,7.56E-10,7.17E-10,6.82E-10,6.50E-10,6.22E-10,5.96E-10,5.73E-10,5.53E-10,5.35E-10,5.18E-10,5.03E-10,4.90E-10
67,4.42E-10,4.42E-10,4.41E-10,4.40E-10,4.33E-10,4.18E-10,3.99E-10,3.78E-10,3.57E-10,3.38E-10,3.21E-10,3.05E-10,2.91E-10,2.78E-10,2.67E-10,2.56E-10,2.47E-10,2.39E-10,2.32E-10,2.25E-10,2.19E-10
68,1.94E-10,1.94E-10,1.94E-10,1.94E-10,1.90E-10,1.84E-10,1.76E-10,1.67E-10,1.58E-10,1.49E-10,1.41E-10,1.34E-10,1.28E-10,1.22E-10,1.17E-10,1.13E-10,1.09E-10,1.05E-10,1.02E-10,9.90E-11,9.64E-11
69,8.43E-11,8.43E-11,8.42E-11,8.40E-11,8.26E-11,7.99E-11,7.63E-11,7.23E-11,6.84E-11,6.47E-11,6.13E-11,5.83E-11,5.56E-11,5.32E-11,5.10E-11,4.90E-11,4.72E-11,4.57E-11,4.43E-11,4.30E-11,4.18E-11
70,3.60E-11,3.60E-11,3.60E-11,3.59E-11,3.54E-11,3.42E-11,3.27E-11,3.10E-11,2.93E-11,2.77E-11,2.63E-11,2.50E-11,2.38E-11,2.27E-11,2.18E-11,2.10E-11,2.02E-11,1.95E-11,1.89E-11,1.84E-11,1.79E-11
71,1.52E-11,1.52E-11,1.52E-11,1.51E-11,1.49E-11,1.44E-11,1.38E-11,1.31E-11,1.24E-11,1.17E-11,1.11E-11,1.05E-11,1.00E-11,9.60E-12,9.20E-12,8.84E-12,8.53E-12,8.24E-12,7.99E-12,7.75E-12,7.54E-12
72,6.31E-12,6.31E-12,6.30E-12,6.29E-12,6.20E-12,6.00E-12,5.73E-12,5.44E-12,5.14E-12,4.87E-12,4.61E-12,4.38E-12,4.18E-12,3.99E-12,3.83E-12,3.68E-12,3.55E-12,3.43E-12,3.32E-12,3.22E-12,3.14E-12
73,2.59E-12,2.59E-12,2.60E-12,2.58E-12,2.54E-12,2.46E-12,2.35E-12,2.23E-12,2.11E-12,2.00E-12,1.89E-12,1.80E-12,1.72E-12,1.64E-12,1.57E-12,1.51E-12,1.46E-12,1.41E-12,1.36E-12,1.32E-12,1.29E-12
74,1.05E-12,1.05E-12,1.08E-12,1.04E-12,1.03E-12,9.97E-13,9.53E-13,9.04E-13,8.55E-13,8.09E-13,7.67E-13,7.29E-13,6.94E-13,6.64E-13,6.36E-13,6.11E-13,5.89E-13,5.69E-13,5.51E-13,5.36E-13,5.21E-13
75,4.18E-13,4.18E-13,4.17E-13,4.16E-13,4.11E-13,3.98E-13,3.81E-13,3.61E-13,3.42E-13,3.23E-13,3.06E-13,2.91E-13,2.77E-13,2.65E-13,2.54E-13,2.44E-13,2.35E-13,2.27E-13,2.20E-13,2.14E-13,2.08E-13
76,1.65E-13,1.65E-13,1.57E-13,1.63E-13,1.62E-13,1.57E-13,1.50E-13,1.42E-13,1.35E-13,1.27E-13,1.21E-13,1.15E-13,1.09E-13,1.05E-13,1.00E-13,9.62E-14,9.28E-14,8.96E-14,8.68E-14,8.43E-14,8.20E-14
